project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
100,1,Graduated,13,1870,2,438,63,11,11,0.9147601376302615,0.10359371598418742,0.9951871657754011,0.5555555555555556,0.7,0.25,2,1,0.0,1.0,0,0.0,12,21,0.46547619047619043,3.5,4,10.0,26
100,2,Graduated,12,172,4,84,61,8,8,1.4003665360412823,-0.4418577123122502,0.6046511627906976,0.47540983606557374,0.4583333333333333,0.25,4,4,0.5833333333333333,2.0,3,1.0,9,13,0.4222222222222222,2.888888888888889,5,3.0,12
100,3,Graduated,13,112,4,60,29,9,7,3.2654008292864667,0.46022965500940793,0.9285714285714286,0.4482758620689655,0.75,0.42105263157894735,0,0,0,0,0,0,9,10,0.15925925925925927,2.2222222222222223,2,1.0,11
100,4,Graduated,4,2,1,2,5,3,2,0,0.0021028030036501747,1.0,0.6,0.0,0.88,0,0,0,0,0,0,4,4,0.0,2.0,2,0.0,1
100,5,Graduated,7,59,2,41,13,5,6,-0.24783336851595728,1.5787535564407336,0.5254237288135594,0.6153846153846154,0.7272727272727273,0.7333333333333333,2,1,0.0,1.0,0,0.0,6,7,0.35000000000000003,2.3333333333333335,1,1.0,7
101,1,Graduated,5,332,2,239,4,3,3,-2.1587349253362174,-1.1547005383792577,0.7620481927710844,0.5,0.2,0.0,2,1,0.0,1.0,0,0.0,3,2,0.0,1.3333333333333333,1,0.0,4
101,2,Graduated,11,365,2,200,58,9,9,0.6547975637161848,-0.3667797827309778,0.8246575342465754,0.3448275862068966,0.39285714285714285,0.17857142857142858,2,1,0.0,1.0,0,0.0,10,14,0.2866666666666666,2.8,5,2.0,20
101,3,Graduated,9,45,2,35,64,7,7,0.8280368352622688,0.06290797346265525,0.8888888888888888,0.53125,0.23076923076923078,0.11538461538461539,2,1,0.0,1.0,0,0.0,7,12,0.47619047619047616,3.4285714285714284,4,3.0,18
101,4,Graduated,6,8,2,8,15,4,3,-0.3394112549695378,0.04645149372127773,0.875,0.5333333333333333,0.6,0.5238095238095238,0,0,0,0,0,0,4,3,0.0,1.5,2,0.0,3
101,5,Graduated,8,1,1,1,41,7,6,0,0.5588395909665386,1.0,0.34146341463414637,0.0,0.21739130434782608,0,0,0,0,0,0,7,10,0.14285714285714285,2.857142857142857,4,1.0,13
