project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
100,1,Graduated,13,1870,2,438,63,11,11,0.9147601376302615,0.10359371598418742,0.9951871657754011,0.5555555555555556,0.7,0.25,2,1,0.0,1.0,0,0.0,12,21,0.46547619047619043,3.5,4,10.0,26
100,2,Graduated,12,172,4,84,61,8,8,1.4003665360412823,-0.4418577123122502,0.6046511627906976,0.47540983606557374,0.4583333333333333,0.25,4,4,0.5833333333333333,2.0,3,1.0,9,13,0.4222222222222222,2.888888888888889,5,3.0,12
101,1,Graduated,5,332,2,239,4,3,3,-2.1587349253362174,-1.1547005383792577,0.7620481927710844,0.5,0.2,0.0,2,1,0.0,1.0,0,0.0,3,2,0.0,1.3333333333333333,1,0.0,4
101,2,Graduated,11,365,2,200,58,9,9,0.6547975637161848,-0.3667797827309778,0.8246575342465754,0.3448275862068966,0.39285714285714285,0.17857142857142858,2,1,0.0,1.0,0,0.0,10,14,0.2866666666666666,2.8,5,2.0,20
102,1,Graduated,13,157,2,129,83,11,11,1.7108173194805136,1.0393008116183602,0.802547770700637,0.5421686746987951,0.5882352941176471,0.3333333333333333,2,1,0.0,1.0,0,0.0,11,23,0.553896103896104,4.181818181818182,4,14.0,35
102,2,Graduated,16,87,3,46,195,13,14,-0.6018083529121626,0.47255321962903984,0.6551724137931034,0.38974358974358975,0.42105263157894735,0.04,3,2,0.0,1.3333333333333333,1,0.0,14,43,0.589028035456607,6.142857142857143,11,60.0,70
103,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,Graduated,9,0,0,0,48,9,9,0,1.2528998397794462,0,0.4583333333333333,1,0.42105263157894735,0,0,0,0,0,0,9,11,0.22619047619047616,2.4444444444444446,2,1.0,20
104,1,Graduated,3,421,3,210,0,0,0,-0.76111013780064,0,0.517814726840855,0,0.42857142857142855,1,3,3,1.0,2.0,0,1.0,0,0,0,0,0,0,0
104,2,Graduated,3,168,3,122,0,0,0,0.295089114622264,0,0.7678571428571429,0,0.5714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0
