project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
100,1,Graduated,13,1870,2,438,63,11,11,0.9147601376302615,0.10359371598418742,0.9951871657754011,0.5555555555555556,0.7,0.25,2,1,0.0,1.0,0,0.0,12,21,0.46547619047619043,3.5,4,10.0,26
101,1,Graduated,5,332,2,239,4,3,3,-2.1587349253362174,-1.1547005383792577,0.7620481927710844,0.5,0.2,0.0,2,1,0.0,1.0,0,0.0,3,2,0.0,1.3333333333333333,1,0.0,4
102,1,Graduated,13,157,2,129,83,11,11,1.7108173194805136,1.0393008116183602,0.802547770700637,0.5421686746987951,0.5882352941176471,0.3333333333333333,2,1,0.0,1.0,0,0.0,11,23,0.553896103896104,4.181818181818182,4,14.0,35
103,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,Graduated,3,421,3,210,0,0,0,-0.76111013780064,0,0.517814726840855,0,0.42857142857142855,1,3,3,1.0,2.0,0,1.0,0,0,0,0,0,0,0
105,1,Graduated,42,215,1,195,315,41,40,0,-0.0071484157366620196,1.0,0.6349206349206349,0.0,0.10344827586206896,0,0,0,0,0,0,42,89,0.4579754636897495,4.238095238095238,5,65.0,143
106,1,Graduated,17,41,3,7,117,14,13,-0.06104902500549824,0.20440584542812235,0.8780487804878049,0.4188034188034188,0.4,0.0,3,3,1.0,2.0,0,1.0,14,24,0.31190476190476196,3.4285714285714284,6,13.0,31
107,1,Graduated,269,250,10,122,3976,259,264,0.7879133191682386,-0.02807701868696912,0.36,0.6438631790744467,0.16,0.0,9,20,0.8661375661375661,4.444444444444445,6,20.0,269,1314,0.26449423724213567,9.769516728624536,33,3322.0,1705
108,1,Graduated,19,0,0,0,174,19,19,0,0.8274016663960091,0,0.3160919540229885,1,0.07142857142857142,0,0,0,0,0,0,19,54,0.5796195033037139,5.684210526315789,12,52.0,58
109,1,Graduated,11,0,0,0,37,11,11,0,0.5053021502286208,0,0.5945945945945946,1,0.3333333333333333,0,0,0,0,0,0,13,12,0.0,1.8461538461538463,5,0.0,12
110,1,Graduated,7,0,0,0,54,7,7,0,-0.17070694626040608,0,0.37037037037037035,1,0.3333333333333333,0,0,0,0,0,0,7,11,0.3619047619047619,3.142857142857143,2,2.0,16
112,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,Graduated,78,495,4,450,391,74,77,3.26522509067788,0.589693335832629,0.9090909090909091,0.6086956521739131,0.3103448275862069,0.034482758620689655,4,5,0.8333333333333333,2.5,2,2.0,77,157,0.3134808235648572,4.077922077922078,5,102.0,175
115,1,Graduated,10,99,3,88,215,7,20,0.025177538938495822,-0.6404454021683773,0.8888888888888888,0.4046511627906977,0.3333333333333333,0.0,3,2,0.0,1.3333333333333333,1,0.0,20,34,0.3277672327672328,3.4,5,13.0,27
116,1,Graduated,13,316,2,156,84,11,10,1.2807870425254648,0.2244989453550337,0.9746835443037974,0.5238095238095238,0.36363636363636365,0.23809523809523808,2,1,0.0,1.0,0,0.0,11,20,0.4727272727272727,3.6363636363636362,6,8.0,31
117,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,Graduated,27,0,0,0,135,27,26,0,-0.3732064869803868,0,0.4,1,0.23809523809523808,0,0,0,0,0,0,28,53,0.3396310039167182,3.7857142857142856,10,33.0,71
119,1,Graduated,7,18,3,11,35,4,4,2.774148291368039,0.5201454708678922,0.8888888888888888,0.45714285714285713,0.42857142857142855,0.35,2,1,0.0,1.0,0,0.0,4,6,0.8333333333333333,3.0,2,2.0,9
120,1,Graduated,11,15,1,15,77,10,10,0,-0.6199353306594738,1.0,0.4805194805194805,0.0,0.2692307692307692,0,0,0,0,0,0,10,20,0.6116666666666666,4.0,4,10.0,24
121,1,Graduated,89,26,1,22,617,88,87,1.918806447200526,0.4879374489824013,1.0,0.4829821717990275,0.0,0.0,0,0,0,0,0,0,90,232,0.3229570255041954,5.155555555555556,5,170.0,327
122,1,Graduated,50,531,8,403,141,42,42,0.7581647758359064,-2.2896311355026446,0.7382297551789078,0.41843971631205673,0.3076923076923077,0.4,5,3,0.0,1.2,1,0.0,43,64,0.15443471257424743,2.9767441860465116,2,16.0,77
123,1,Graduated,6,73,1,73,17,5,7,0,-1.4521443475320779,1.0,0.35294117647058826,0.0,0.5,0,0,0,0,0,0,8,11,0.44166666666666665,2.75,2,2.0,6
124,1,Graduated,17,9143,5,1241,144,12,12,2.094686952160692,0.6291563118759567,0.8441430602646833,0.5277777777777778,0.3,0.14285714285714285,5,9,0.9,3.6,3,7.0,12,18,0.16666666666666666,3.0,7,2.0,25
127,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,Graduated,6,0,0,0,21,6,7,0,0.02852104537387829,0,0.42857142857142855,1,0.2857142857142857,0,0,0,0,0,0,7,10,0.6476190476190476,2.857142857142857,3,3.0,11
129,1,Graduated,3,0,0,0,4,3,4,0,1.1547005383792344,0,0.5,1,0.0,0,0,0,0,0,0,4,3,0.0,1.5,2,0.0,2
130,1,Graduated,10,0,0,0,118,10,9,0,0.008742758808384696,0,0.3559322033898305,1,0.3076923076923077,0,0,0,0,0,0,10,20,0.48,4.0,6,9.0,32
131,1,Graduated,19,0,0,0,174,19,19,0,-0.6108150704898878,0,0.5172413793103449,1,0.05555555555555555,0,0,0,0,0,0,20,36,0.3758333333333333,3.6,6,23.0,55
132,1,Graduated,16,181,4,110,58,12,11,0.7413112173101639,-0.5256166521379878,0.580110497237569,0.5,0.1111111111111111,0.07142857142857142,3,3,1.0,2.0,0,1.0,12,22,0.5478835978835979,3.6666666666666665,3,9.0,31
134,1,Graduated,48,12934,11,4605,1138,37,36,0.6746949119725121,-0.08384184825239661,0.8859594866244008,0.5413005272407733,0.11764705882352941,0.0,11,29,0.7668831168831168,5.2727272727272725,9,32.0,37,134,0.5338921924216041,7.243243243243243,15,189.0,201
135,1,Graduated,13,91,4,60,174,9,10,0.4654779054853886,0.30632429590900107,0.5494505494505495,0.3160919540229885,0.20689655172413793,0.10714285714285714,3,2,0.0,1.3333333333333333,1,0.0,10,19,0.38,3.8,6,8.0,28
136,1,Graduated,14,0,0,0,157,14,15,0,0.6966263057743063,0,0.45222929936305734,1,0.125,0,0,0,0,0,0,15,37,0.4356776556776557,4.933333333333334,7,21.0,50
137,1,Graduated,10,801,3,176,60,7,6,-2.427874472280434,-0.20472578054664345,0.9275905118601748,0.43333333333333335,0.5217391304347826,0.25,3,2,0.0,1.3333333333333333,1,0.0,7,10,0.31428571428571433,2.857142857142857,3,2.0,16
138,1,Graduated,9,0,0,0,28,9,8,0,-1.090938050110702,0,0.17857142857142858,1,0.5555555555555556,0,0,0,0,0,0,9,13,0.41851851851851846,2.888888888888889,6,7.0,20
139,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,Graduated,8,152,1,83,105,7,7,0,1.4435353602560617,1.0,0.38095238095238093,0.0,0.25925925925925924,0,0,0,0,0,0,7,16,0.8095238095238095,4.571428571428571,4,9.0,27
142,1,Graduated,15,379,1,344,186,14,14,6.663074616295145,-0.9154150969582128,1.0,0.41397849462365593,0.0,0.21739130434782608,0,0,0,0,0,0,16,35,0.34464285714285714,4.375,8,16.0,47
143,1,Graduated,13,312,3,110,147,10,10,-0.9860917976129966,-1.2433919842029115,0.46794871794871795,0.4217687074829932,0.5333333333333333,0.3333333333333333,3,2,0.0,1.3333333333333333,1,0.0,10,18,0.5245238095238095,3.6,4,5.0,23
144,1,Graduated,7,8,1,8,14,6,6,0,-0.04755843028533584,1.0,0.21428571428571427,0.0,0.8947368421052632,0,0,0,0,0,0,6,5,0.38888888888888884,1.6666666666666667,3,1.0,8
145,1,Graduated,7,0,0,0,34,7,7,0,0.3582719468678147,0,0.35294117647058826,1,0.14285714285714285,0,0,0,0,0,0,8,11,0.29166666666666663,2.75,3,2.0,16
146,1,Graduated,3,96,3,43,0,0,0,2.2239742511032805,0,0.5833333333333334,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,Graduated,37,192,4,100,241,33,34,-0.5736153471985004,-0.012256249814176001,0.5989583333333334,0.5435684647302904,0.6071428571428571,0.0,3,3,1.0,2.0,0,1.0,34,74,0.3378360970056471,4.352941176470588,8,43.0,97
154,1,Graduated,10,2,1,2,140,9,9,0,0.9948803118379254,1.0,0.35,0.0,0.14814814814814814,0,0,0,0,0,0,9,20,0.6164021164021164,4.444444444444445,5,11.0,27
155,1,Graduated,5,39,3,24,2,2,2,-0.42342406887147704,9.97127185507763e-15,0.5897435897435898,0.5,0.6818181818181818,0.0,0,0,0,0,0,0,2,1,0.0,1.0,0,0.0,2
156,1,Graduated,13,3,3,2,72,10,11,0.7071067811865485,0.06694134455220183,0.3333333333333333,0.5138888888888888,0.6666666666666666,0.25,2,1,0.0,1.0,0,0.0,11,12,0.0,2.1818181818181817,2,0.0,19
157,1,Graduated,11,0,0,0,71,11,10,0,1.2789993879199015,0,0.4788732394366197,1,0.41379310344827586,0,0,0,0,0,0,11,25,0.5307359307359307,4.545454545454546,6,16.0,35
159,1,Graduated,5,0,0,0,13,5,4,0,0.5699192074745795,0,0.46153846153846156,1,0.6666666666666666,0,0,0,0,0,0,5,5,0.0,2.0,1,0.0,7
160,1,Graduated,6,0,0,0,32,6,6,0,0.046643672106702505,0,0.40625,1,0.35294117647058826,0,0,0,0,0,0,6,11,0.6777777777777777,3.6666666666666665,4,5.0,14
161,1,Graduated,43,718,6,437,264,37,37,0.6084691487395627,2.2752785386764636,0.5974930362116991,0.3484848484848485,0.2222222222222222,0.42857142857142855,6,9,0.6388888888888888,3.0,5,5.0,38,99,0.29745457500875455,5.2105263157894735,14,68.0,127
163,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,Graduated,6,0,0,0,46,6,6,0,-0.1605984882624664,0,0.2608695652173913,1,0.0,0,0,0,0,0,0,6,11,0.6777777777777777,3.6666666666666665,2,5.0,18
167,1,Graduated,22,943,8,267,142,14,13,-0.11580358488939661,0.8116218934832412,0.28525980911983034,0.33098591549295775,0.13636363636363635,0.14814814814814814,7,13,0.9238095238095239,3.7142857142857144,5,11.0,14,42,0.5900793650793651,6.0,10,42.0,57
168,1,Graduated,34,0,0,0,428,34,32,0,1.13798694878349,0,0.5957943925233645,1,0.1111111111111111,0,0,0,0,0,0,34,109,0.5238169510228333,6.411764705882353,13,128.0,149
169,1,Graduated,45,2681,6,1044,464,39,37,0.06044171246674495,-0.011330352122554364,0.5124953375606117,0.6077586206896551,0.17857142857142858,0.0,6,8,0.5833333333333334,2.6666666666666665,5,4.0,40,100,0.4178875225554542,5.0,4,89.0,132
170,1,Graduated,3,21,1,11,2,2,2,0,-3.252606517456516e-15,1.0,0.5,0.0,0.6666666666666666,0,0,0,0,0,0,3,2,0.0,1.3333333333333333,1,0.0,0
171,1,Graduated,1,1,1,1,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1,Graduated,20,2190,2,748,99,18,20,12.863417507877891,0.35390229972321197,0.9940639269406393,0.3333333333333333,0.9333333333333333,0.2413793103448276,2,1,0.0,1.0,0,0.0,20,39,0.3707936507936508,3.9,8,13.0,44
173,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1,Graduated,20,2298,7,783,123,13,12,-0.19383266602631463,-0.857069925649456,0.5983463881636205,0.6016260162601627,0.125,0.21739130434782608,7,12,0.6904761904761906,3.4285714285714284,5,8.0,13,25,0.39304029304029303,3.8461538461538463,6,12.0,32
176,1,Graduated,18,2454,4,701,349,14,14,-0.23834820431263565,0.4524178269753856,0.5244498777506112,0.5386819484240688,0.125,0.0,4,6,1.0,3.0,0,4.0,14,31,0.5659245516388374,4.428571428571429,4,19.0,46
177,1,Graduated,6,0,0,0,41,6,6,0,1.038652697741456,0,0.36585365853658536,1,0.46153846153846156,0,0,0,0,0,0,6,9,0.25,3.0,3,1.0,13
178,1,Graduated,5,0,0,0,24,5,4,0,0.20568555724650245,0,0.4166666666666667,1,0.25,0,0,0,0,0,0,5,8,0.0,3.2,4,0.0,8
179,1,Graduated,4,7,1,5,12,3,3,0.5891198977906645,-0.052244818094174424,1.0,0.4166666666666667,0.6,0.6470588235294118,0,0,0,0,0,0,3,3,1.0,2.0,0,1.0,6
181,1,Graduated,6,17,1,15,13,5,5,0,-0.7161077509924383,1.0,0.38461538461538464,0.0,0.4,0,0,0,0,0,0,5,4,0.0,1.6,2,0.0,8
182,1,Graduated,11,66,1,15,65,10,9,0.6457327353549751,0.5856753796241196,1.0,0.35384615384615387,0.0,0.0,0,0,0,0,0,0,10,17,0.30666666666666664,3.4,6,3.0,24
183,1,Graduated,21,248,6,169,381,15,18,-0.48639898249181085,0.22407787973515275,0.8225806451612904,0.49868766404199477,0.2631578947368421,0.045454545454545456,6,9,0.6388888888888888,3.0,5,5.0,18,50,0.45997150997151004,5.555555555555555,10,47.0,77
184,1,Graduated,143,254,25,24,2256,118,116,-0.24410949902464102,0.22790306268751775,0.7086614173228346,0.5460992907801419,0.0,0.0,25,258,0.9319841897233201,20.64,23,1777.0,120,603,0.39505970334200985,10.05,18,1240.0,892
185,1,Graduated,1,383,1,372,0,0,0,7.800592827003208,0,1.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1,Graduated,20,0,0,0,48,20,19,0,-0.5893339091520332,0,0.3333333333333333,1,0.4666666666666667,0,0,0,0,0,0,21,26,0.061111111111111116,2.4761904761904763,4,3.0,29
